fontプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),2,フォント関連をまとめて指定,フォントの種類,フォント関連をまとめて指定,スモールキャピタル,フォントのスタイル
font-sizeプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),1,フォントのサイズ,フォントのサイズ,垂直方向の表示位置,背景色,大文字と小文字の変換
font-weightプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),1,フォントの太さ,フォントの太さ,境界線の色をまとめて指定,直前の改ページ,内容領域の高さ
font-styleプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),2,フォントのスタイル,左からの距離,フォントのスタイル,背景画像,マーカー関連をまとめて指定
font-familyプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),1,フォントの種類,フォントの種類,文字色,右からの距離,基本書字方向
font-variantプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),3,スモールキャピタル,上下左右の境界線,アウトラインのスタイル,スモールキャピタル,垂直方向の表示位置
text-alignプロパティの説明に適しているのはどれか？(適用対象はブロックレベル要素です。),4,水平方向の表示位置,書字方向の組み込みと上書き,重なりの順序,境界線の色をまとめて指定,水平方向の表示位置
vertical-alignプロパティの説明に適しているのはどれか？適用対象はインライン要素、th要素、td要素です。),2,垂直方向の表示位置,配置方法,垂直方向の表示位置,下からの距離,上下左右のパディング
line-heightプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,行の高さ,直前の改ページ,フロート（浮動化）,引用符の設定,行の高さ
text-decorationプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),2,文字の装飾,上からの距離,文字の装飾,フォントのスタイル,境界線の太さをまとめて指定
text-indentプロパティの説明に適しているのはどれか？(適用対象はブロックレベル要素です。),3,1行目の字下げ,内容領域の幅,フロート（浮動化）,1行目の字下げ,表のレイアウト方法
text-transformプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),2,大文字と小文字の変換,境界線のスタイルをまとめて指定,大文字と小文字の変換,最小の幅,水平方向の表示位置
letter-spacingプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),3,文字の間隔,マーカーの種類,空セルの境界線,文字の間隔,行の高さ
word-spacingプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),2,単語の間隔,アウトラインのスタイル,単語の間隔,フォントの種類,上下左右の境界線の色
white-spaceプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,改行・スペース・タブの扱い,配置方法,フォントの種類,下からの距離,改行・スペース・タブの扱い
colorプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),1,文字色,文字色,大文字と小文字の変換,フォントの種類,文字の装飾
backgroundプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,背景関連をまとめて指定,上下左右の境界線のスタイル,境界線のスタイルをまとめて指定,背景画像の固定表示,背景関連をまとめて指定
background-colorプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,背景色,境界線のスタイルをまとめて指定,文字色,背景画像,背景色
background-imageプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),3,背景画像,背景画像の固定表示,内容領域の高さ,背景画像,書字方向の組み込みと上書き
background-repeatプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,背景画像の並び方,単語の間隔,背景画像の表示位置,最大の高さ,背景画像の並び方
background-positionプロパティの説明に適しているのはどれか？(適用対象はブロックレベル要素、置換要素です。),3,背景画像の表示位置,アウトラインの太さ,直後の改ページ,背景画像の表示位置,要素内の改ページ
background-attachmentプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),1,背景画像の固定表示,背景画像の固定表示,アウトラインのスタイル,大文字と小文字の変換,上下左右の境界線のスタイル
widthプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。また、非置換インライン要素、tr要素、thead要素、tfoot要素、tbody要素を除く),1,内容領域の幅,内容領域の幅,マーカー関連をまとめて指定,マーカーの位置,回り込みの解除
heightプロパティの説明に適しているのはどれか？適用対象は全ての要素(非置換インライン要素、colgroup要素、col要素を除く）,2,内容領域の高さ,マージンをまとめて指定,内容領域の高さ,切り抜き,背景関連をまとめて指定
max-widthプロパティの説明に適しているのはどれか？全ての要素 （非置換インライン要素、表関連要素を除く）,2,最大の幅,配置方法,最大の幅,重なりの順序,アウトラインの色
min-widthプロパティの説明に適しているのはどれか？全ての要素 （非置換インライン要素、表関連要素を除く）,2,最小の幅,上からの距離,最小の幅,背景画像の並び方,文字色
max-heightプロパティの説明に適しているのはどれか？全ての要素 （非置換インライン要素、表関連要素を除く）,3,最大の高さ,背景画像の並び方,背景画像の固定表示,最大の高さ,表のレイアウト方法
min-heightプロパティの説明に適しているのはどれか？全ての要素 （非置換インライン要素、表関連要素を除く）,2,最小の高さ,直後の改ページ,最小の高さ,直前の改ページ,背景画像の固定表示
marginプロパティの説明に適しているのはどれか？全ての要素 （table要素、caption要素以外の表関連要素を除く）,1,マージンをまとめて指定,マージンをまとめて指定,配置方法,文字の間隔,フロート（浮動化）
margin-top、margin-right、margin-bottom、margin-leftプロパティの説明に適しているのはどれか？全ての要素 （table要素、caption要素以外の表関連要素を除く）,4,上下左右のマージン,水平方向の表示位置,境界線関連をまとめて指定,境界線のスタイルをまとめて指定,上下左右のマージン
paddingプロパティの説明に適しているのはどれか？全ての要素 （tr要素、thead要素、tfoot要素、tbody要素、col要素、colgroup要素を除く）,1,パディングをまとめて指定,パディングをまとめて指定,上下左右のマージン,背景画像の表示位置,最小の幅
padding-top、padding-right、padding-bottom、padding-leftプロパティの説明に適しているのはどれか？全ての要素 （tr要素、thead要素、tfoot要素、tbody要素、col要素、colgroup要素を除く）,2,上下左右のパディング,境界線の色をまとめて指定,上下左右のパディング,右からの距離,背景画像の固定表示
borderプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,境界線関連をまとめて指定,背景画像の表示位置,1行目の字下げ,基本書字方向,境界線関連をまとめて指定
border-top、border-right、border-bottom、border-leftプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,上下左右の境界線,最大の高さ,境界線の色をまとめて指定,境界線関連をまとめて指定,上下左右の境界線
border-widthプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,境界線の太さをまとめて指定,文字色,フォントの太さ,上下左右の境界線,境界線の太さをまとめて指定
border-top-width、border-right-width、border-bottom-width、border-left-widthプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),3,上下左右の境界線の太さ,空セルの境界線,最小の高さ,上下左右の境界線の太さ,マーカー関連をまとめて指定
border-colorプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),3,境界線の色をまとめて指定,アウトラインの太さ,アウトラインのスタイル,境界線の色をまとめて指定,マーカー関連をまとめて指定
border-top-color、border-right-color、border-bottom-color、border-left-colorプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),3,上下左右の境界線の色,単語の間隔,切り抜き,上下左右の境界線の色,アウトライン関連をまとめて指定
border-styleプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),2,境界線のスタイルをまとめて指定,背景色,境界線のスタイルをまとめて指定,書字方向の組み込みと上書き,文字の装飾
border-top-style、border-right-style、border-bottom-style、border-left-styleプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),2,上下左右の境界線のスタイル,アウトライン関連をまとめて指定,上下左右の境界線のスタイル,重なりの順序,行の高さ
overflowプロパティの説明に適しているのはどれか？(適用対象はブロックレベル要素、置換要素です。),2,はみ出た部分の表示方法,空セルの境界線,はみ出た部分の表示方法,境界線のスタイルをまとめて指定,左からの距離
displayプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),3,表示形式,空セルの境界線,垂直方向の表示位置,表示形式,境界線のスタイルをまとめて指定
visibilityプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),3,表示と非表示,カーソルの形,直後の改ページ,表示と非表示,切り抜き
clipプロパティの説明に適しているのはどれか？(適用対象は絶対位置決めされた要素です。),3,切り抜き,表示形式,マージンをまとめて指定,切り抜き,大文字と小文字の変換
floatプロパティの説明に適しているのはどれか？全ての要素 （絶対位置決めされた要素、生成内容を除く）,3,フロート（浮動化）,内容の生成,切り抜き,フロート（浮動化）,アウトラインのスタイル
clearプロパティの説明に適しているのはどれか？(適用対象はブロックレベル要素です。),1,回り込みの解除,回り込みの解除,境界線の間隔,行の高さ,上下左右のマージン
positionプロパティの説明に適しているのはどれか？全ての要素 （生成内容を除く）,2,配置方法,背景画像の固定表示,配置方法,マーカーの画像,上下左右の境界線の太さ
topプロパティの説明に適しているのはどれか？(適用対象は位置決めされた要素です。),1,上からの距離,上からの距離,重なりの順序,内容領域の高さ,単語の間隔
rightプロパティの説明に適しているのはどれか？(適用対象は位置決めされた要素です。),4,右からの距離,改行・スペース・タブの扱い,背景画像の固定表示,基本書字方向,右からの距離
bottomプロパティの説明に適しているのはどれか？(適用対象は位置決めされた要素です。),3,下からの距離,重なりの順序,表示形式,下からの距離,パディングをまとめて指定
leftプロパティの説明に適しているのはどれか？(適用対象は位置決めされた要素です。),3,左からの距離,境界線の表示方法,背景画像の並び方,左からの距離,回り込みの解除
z-indexプロパティの説明に適しているのはどれか？(適用対象は位置決めされた要素です。),4,重なりの順序,パディングをまとめて指定,配置方法,表示と非表示,重なりの順序
directionプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),2,基本書字方向,上からの距離,基本書字方向,配置方法,背景関連をまとめて指定
unicode-bidiプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),2,書字方向の組み込みと上書き,内容領域の幅,書字方向の組み込みと上書き,背景画像の固定表示,上下左右の境界線のスタイル
list-styleプロパティの説明に適しているのはどれか？(適用対象はli要素、「display: list-item」が指定された要素です。),3,マーカー関連をまとめて指定,背景画像,上からの距離,マーカー関連をまとめて指定,文字の装飾
list-style-typeプロパティの説明に適しているのはどれか？(適用対象はli要素、「display: list-item」が指定された要素です。),4,マーカーの種類,表のレイアウト方法,アウトラインの太さ,マーカーの位置,マーカーの種類
list-style-positionプロパティの説明に適しているのはどれか？(適用対象はli要素、「display: list-item」が指定された要素です。),1,マーカーの位置,マーカーの位置,境界線のスタイルをまとめて指定,背景画像の表示位置,マージンをまとめて指定
list-style-imageプロパティの説明に適しているのはどれか？(適用対象はli要素、「display: list-item」が指定された要素です。),3,マーカーの画像,アウトラインの色,内容の生成,マーカーの画像,書字方向の組み込みと上書き
table-layoutプロパティの説明に適しているのはどれか？(適用対象はtable要素です。),2,表のレイアウト方法,マーカーの位置,表のレイアウト方法,マーカー関連をまとめて指定,書字方向の組み込みと上書き
border-collapseプロパティの説明に適しているのはどれか？(適用対象はtable要素です。),4,境界線の表示方法,境界線関連をまとめて指定,フォントの種類,カーソルの形,境界線の表示方法
border-spacingプロパティの説明に適しているのはどれか？(適用対象はtable要素です。),3,境界線の間隔,背景画像,表のレイアウト方法,境界線の間隔,切り抜き
empty-cellsプロパティの説明に適しているのはどれか？(適用対象はth要素、td要素です。),3,空セルの境界線,マーカー関連をまとめて指定,内容の生成,空セルの境界線,文字色
caption-sideプロパティの説明に適しているのはどれか？(適用対象はcaption要素です。),3,表タイトルの位置,書字方向の組み込みと上書き,上下左右のパディング,表タイトルの位置,文字の装飾
contentプロパティの説明に適しているのはどれか？(適用対象は:before疑似要素、:after疑似要素です。),1,内容の生成,内容の生成,書字方向の組み込みと上書き,表示形式,文字色
quotesプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,引用符の設定,背景画像,アウトラインの色,マージンをまとめて指定,引用符の設定
outlineプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),1,アウトライン関連をまとめて指定,アウトライン関連をまとめて指定,重なりの順序,大文字と小文字の変換,背景画像の固定表示
outline-widthプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,アウトラインの太さ,最小の高さ,マーカーの画像,アウトラインのスタイル,アウトラインの太さ
outline-colorプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,アウトラインの色,背景関連をまとめて指定,上下左右の境界線の色,内容領域の高さ,アウトラインの色
outline-styleプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),2,アウトラインのスタイル,上下左右の境界線のスタイル,アウトラインのスタイル,アウトライン関連をまとめて指定,表タイトルの位置
cursorプロパティの説明に適しているのはどれか？(適用対象は全ての要素です。),4,カーソルの形,書字方向の組み込みと上書き,1行目の字下げ,フォントの太さ,カーソルの形
page-break-beforeプロパティの説明に適しているのはどれか？(適用対象はブロックレベル要素です。),1,直前の改ページ,直前の改ページ,上下左右の境界線の太さ,最大の高さ,カーソルの形
page-break-afterプロパティの説明に適しているのはどれか？(適用対象はブロックレベル要素です。),4,直後の改ページ,重なりの順序,背景画像の固定表示,マーカーの種類,直後の改ページ
page-break-insideプロパティの説明に適しているのはどれか？(適用対象はブロックレベル要素です。),1,要素内の改ページ,要素内の改ページ,右からの距離,大文字と小文字の変換,境界線の太さをまとめて指定
